names	A_loading	corrs	color
C.3.XIST	1	0.0152104955577548	Red
C.6.XIST	1	0.140219491246991	Red
C.13.ZFP36	0.181329666744096	-0.0805750351696274	Blue
C.13.FOS	0.178656431706399	-0.0753485464018678	Blue
C.13.CEBPD	0.156661998946409	0.0866726053986803	Red
C.13.EGR1	0.145380923722321	-0.253049164505695	Blue
C.13.XIST	0.122641014351603	-0.0769472128215829	Blue
C.12.HSP90AA1	0.118268357312441	0.0640244874050553	Red
C.10.HSPA1A	0.117593712313852	0.236934157471769	Red
C.17.XIST	0.116836254389163	-0.021921008303823	Blue
C.3.IFI27	0.0545203798221039	0.658973125468358	Red
C.10.KLF6	0.0867242817725227	0.632405140898913	Red
C.5.IGFBP5	0.0458035296487655	-0.597126341716536	Blue
C.11.IFITM3	0.025414975781133	0.547039157692173	Red
C.16.SAT1	0.0480954989360404	0.541812668924413	Red
C.0.S100A2	0.0361747565119943	0.523955498967901	Red
C.14.GADD45B	0.0436320123848343	0.50087184024363	Red
C.14.FOS	0.0225058039154892	0.496080892206517	Red
C.0.IFI27	0.00950057222150226	0.489547781246817	Red
C.7.IFI27	0.0873368443089041	0.481272507364531	Red
