names	A_loading	corrs	color
C.6.DNAJB1	1	0.0304878511452644	Red
C.6.EGR1	1	0.113676130698772	Red
C.6.NFKBIA	1	-0.0217770365323317	Blue
C.10.PPP1R15A	1	0.35975664351412	Red
C.6.GSN	0.502299154528219	-0.418119101420769	Blue
C.7.ATP1B3	0.415300452461502	-0.0239547401855649	Blue
C.6.CD9	0.283925420827263	0.0139373033806923	Red
C.10.DUSP1	0.265092588116144	0.273955119576733	Red
C.10.TSC22D3	0.237099278485845	0.326220007254329	Red
C.10.CXCR4	0.20844814529471	0.132839922847224	Red
C.10.KLF6	0.0879870062132001	0.632405140898913	Red
C.16.SAT1	0.0341065611607438	0.541812668924413	Red
C.10.DNAJB1	0.128709451469059	0.425523293841762	Red
C.5.C11ORF96	0.0393328088156951	0.110627345584245	Red
