names	A_loading	corrs	color
C.1.HSPA1A	1	0.314895948257517	Red
C.1.HSPA1B	1	0.298345400492945	Red
C.11.HSPA1A	1	0.272648497384793	Red
C.11.HSPA1B	1	0.315331488988163	Red
C.8.IER3	0.052161033007627	-0.032230014067851	Blue
C.14.MGP	0.0404504041801471	-0.179927967400258	Blue
C.11.ZFP36	0.0362852042169063	0.322735681409156	Red
C.8.JUN	0.0336725406008278	-0.0483450211017764	Blue
C.17.JUNB	0.0335591927570799	0.0622823244824687	Red
C.0.SERPINB2	0.0334547714632277	-0.288327963688072	Blue
C.3.IFI27	0.0128151518503116	0.658973125468358	Red
C.10.KLF6	0.00401801902932066	0.632405140898913	Red
C.5.IGFBP5	0.0200183097985094	-0.597126341716536	Blue
C.11.IFITM3	0.0151722463396321	0.547039157692173	Red
C.16.SAT1	0.00924447309880438	0.541812668924413	Red
C.0.S100A2	0.0247907458912595	0.523955498967901	Red
C.14.GADD45B	0.0277394944709869	0.50087184024363	Red
C.14.FOS	0.0313999731589239	0.496080892206517	Red
C.0.IFI27	0.0100763886503717	0.489547781246817	Red
C.7.IFI27	0.01124216046379	0.481272507364531	Red
